tweet_id,assessment_option_id
1227261586521382913,63
1227435952961937413,65
1227510231569092610,63
1227527803312099328,63
1227549055724617728,67
1227594592863670279,65
1227595738747568129,64
1227603508276285440,67
1227729455323287552,63
1227742982725459969,64
1227744999346855936,63
1227751052566507520,64
1227778691352027136,64
1227756700934893568,63
1227802369037144064,65
1227764390104952832,64
1227812171125608448,65
1227824489376841731,64
1227843181267439617,63
1227874191065505792,63
1227884272050065408,65
1227876756696096768,63
1227878745651810304,63
1227906715871367168,65
1227921022118031360,65
1227924164192997378,63
1227924575117172736,65
1227925318020714496,65
1227930050466471938,65
1227934961254035457,65
1227941510609395713,65
1227946444155260936,65
1227968465153085441,65
1227969077521436673,65
1228099475916222465,65
1228115439017811970,65
1228259114481963008,65
1228473218601648128,63
1228556962075271171,65
1228575080629751808,63
1228645157802663936,63
1228705161096376321,63
1228817778578083841,63
1228840970143199233,65
1228861728173113345,65
1228869995146268672,65
1228873706266484737,65
1228884785939902464,63
1229193731242250241,65
1229196263343742979,63
1229337299332165632,65
1229264320539680768,65
1229316406665076736,65
1229320315336941573,65
1229349483365851136,65
1229410213113016322,63
1229413939332567041,65
1229418193585729537,63
1229557231017873408,65
1229628421778460672,65
1229473885164163073,63
1227956053012185088,65
1229523729853476864,63
1229087148944449536,63
1228712902942527490,65
1229001633796784135,65
1229705968167948288,63
1229730941892825088,65
1229734848467591168,65
1229862419901509633,63
1229864387449475072,63
1230122900021137408,65
1229901413926309888,65
1229943276855148545,63
1229951524115107840,65
1229964721492639750,63
1229989209936547841,65
1230001284498903040,65
1230054506861170688,65
1230053412567281665,63
1230059197502353409,65
1230129311794941952,63
1230280383553343488,65
1230284909626806273,65
1230324902315474944,65
1227898808006144000,63
1227910592662405121,63
1227922124716662785,63
1227922445958410240,63
1227926053739323392,63
1227935035291914240,63
1227879261253464064,65
1227938852829986816,63
1227941718797897728,65
1229215897300037632,63
1228891301791186944,63
1229389659765125121,63
1229691650391379968,63
1228648946097999873,65
1230316904197132288,65
1228462349062832128,65
1230325644707295232,65
1230336301175427073,65
1228669282600407041,65
1230354543881289728,65
1229985916988485633,63
1229224392443351040,63
1229224878798077953,63
1229225972437700608,63
1230398823148576769,63
1230410913649324032,65
1230422653925654528,65
